Tlei_v1.17230-RA	OG0012072	Description=WD repeat-containing protein RUP2	Aco010278	circadian_metabolism_Wai2017, 00_#W_CircadianOscillator_WD_repeat-containing_protein_RUP2
Tlei_v1.18263-RA	OG0012707	Description=Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha	Aco013202	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.15796-RA	OG0010390	Description=SH3 domain-containing protein 2	Aco007575	Diff_expressed_CAMC3
Tlei_v1.18177-RA	OG0012736	Description=Sphingoid long-chain bases kinase 1	Aco013283	glucogenesis_glycolysis, 10_Glucogenesis_specific_dayC3
Tlei_v1.18160-RA	OG0012737	Description=probable aquaporin NIP5-1	Aco013293	aquaporin_reg, 02_Aquaporins
Tlei_v1.29870-RA	OG0006945	Description=late embryogenesis abundant protein Lea5-like	Aco001848	Diff_expressed_CAMC3, draught_res, 06_Drough_resistance_genes_LEA
Tlei_v1.17729-RA	OG0010647	Description=transcription factor LG2 isoform X1	Aco013769	Diff_expressed_CAMC3
Tlei_v1.20259-RA	OG0013601	Description=prolyl 4-hydroxylase 1 isoform X1	Aco026652	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.10942-RA	OG0013061	Description=Nuclear export mediator factor NEMF	Aco013682	pos_selection_CAM_shifts
Tlei_v1.03835-RA	OG0013607	Description=phosphoenolpyruvate carboxylase kinase	Aco013938	CAM-related_Acomosus_Ming2015, 00_##14_Phosphoenolpyruvate_carboxylase_kinase
Tlei_v1.20875-RA	OG0009338	Description=thioredoxin M3, chloroplastic-like	Aco007876	gene_families_CAMC3
Tlei_v1.20890-RA	OG0009337	Description=abscisic stress ripening	Aco007857	stomata_func, 01b_Abscisic_acid_signal
Tlei_v1.14554-RA	OG0012309	Description=S-norcoclaurine synthase 1-like	Aco011710	glucogenesis_glycolysis, 11_Glycolysis_night_C4_malate_pathway
Tlei_v1.31424-RA	OG0009557	Description=probable pectinesterase 8	Aco008348	Diff_expressed_CAMC3
Tlei_v1.26838-RA	OG0002432	Description=SH3 domain-containing protein 2	Aco016258	Diff_expressed_CAMC3
